# 400 NSE-listed companies: 299 coverage names grouped by sector, plus 101
# non-coverage PE holdings tagged with the book(s) they came from.
#
# Coverage symbols were resolved by ISIN through BSE's scrip master and NSE's
# own equity list, then confirmed to price on Yahoo and to carry a BSE scrip
# code for shareholding lookups.
#
# BSE is excluded: it carries no BSE scrip code, so shareholding cannot be
# fetched. NSDL is excluded as a BSE-only listing with no .NS series. CDSL is
# watched only as a non-coverage PE name; its shareholding still cannot be
# fetched.
#
INTELLECT   , Intellect Design Arena
IKS         , Inventurus Knowledge Solutions
KPITTECH    , KPIT Technologies
LTTS        , L&T Technology Services
LTM         , LTIMindtree
LATENTVIEW  , LatentView Analytics Ltd
MASTEK      , Mastek
MPHASIS     , Mphasis
NEWGEN      , Newgen Software Technologies
PERSISTENT  , Persistent Systems
RATEGAIN    , RateGain Travel Technologies
SONATSOFTW  , Sonata Software
TCS         , Tata Consultancy Services
TATAELXSI   , Tata Elxsi
TECHM       , Tech Mahindra
WIPRO       , Wipro

# --- Infra (9) ---
ADANIPORTS  , Adani Ports and Special Economic Zone
AHLUCONT    , Ahluwalia Contracts India
GPPL        , Gujarat Pipavav Port
IEX         , Indian Energy Exchange
JSWINFRA    , JSW Infrastructure
KNRCON      , KNR Constructions
LT          , Larsen & Toubro
PNCINFRA    , PNC Infratech
PSPPROJECT  , PSP Projects

# --- Intermediaries (8) ---
360ONE      , 360 One WAM
ANGELONE    , Angel One
GROWW       , Billionbrains Garage Ventures Ltd (Groww)
CAMS        , Computer Age Management Services
KFINTECH    , KFin Technologies
MCX         , Multi Commodity Exchange of India
NUVAMA      , Nuvama Wealth Management
PRUDENT     , Prudent Corporate Advisory Services

# --- Internet (9) ---
AMAGI       , Amagi Media Labs
COFORGE     , Coforge
ETERNAL     , Eternal
INDIAMART   , IndiaMART InterMESH
IRCTC       , Indian Railway Catering And Tourism Corporation
NAUKRI      , Info Edge (India)
POLICYBZR   , PB Fintech
REDINGTON   , Redington (India)
SWIGGY      , Swiggy

# --- Life insurance (6) ---
CANHLIFE    , Canara HSBC Life Insurance Company
HDFCLIFE    , HDFC Standard Life Insurance Co
